rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,ticker,corp_name,fs_div
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초 현금및현금성자산,-,제 21 기 1분기,412039917000,,,2,KRW,,제 20 기 1분기,357864096000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,분기말 현금및현금성자산,-,제 21 기 1분기,536066104000,,,3,KRW,,제 20 기 1분기,314899870000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,-,제 21 기 1분기,-12133462000,,,8,KRW,,제 20 기 1분기,-7610195000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 감소,-,제 21 기 1분기,12226832000,,,9,KRW,,제 20 기 1분기,8110199000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_ProceedsFromConsolidatedCapitalTransactions,연결자본거래로 인한 현금유입,-,제 21 기 1분기,93370000,,,10,KRW,,제 20 기 1분기,500004000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_ProceedsFromShortTermBorrowings,차입금의 증가,-,제 21 기 1분기,0,,,11,KRW,,제 20 기 1분기,100000000000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_RepaymentsOfBorrowingsClassifiedAsFinancingActivities,차입금의 상환,-,제 21 기 1분기,0,,,12,KRW,,제 20 기 1분기,100000000000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,-,제 21 기 1분기,122601329000,,,13,KRW,,제 20 기 1분기,27476686000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_AdjustmentsForIncreaseDecreaseInDerivativeLiabilities,파생상품부채의 감소,-,제 21 기 1분기,0,,,14,KRW,,제 20 기 1분기,-42665347000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_ProceedsFromSalesOfFairValueFinancialAsset,공정가치측정금융자산의 감소,-,제 21 기 1분기,581856000,,,15,KRW,,제 20 기 1분기,0,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_ProceedsFromSalesOfFinanceLeaseAssets,금융리스채권의 감소,-,제 21 기 1분기,72937000,,,16,KRW,,제 20 기 1분기,35835000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_ProceedsFromSalesOfInvestmentsInAssociates,공동기업 및 관계기업투자주식의 처분,-,제 21 기 1분기,0,,,17,KRW,,제 20 기 1분기,481939000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정자산 처분으로 인한 현금흐름,-,제 21 기 1분기,100577000,,,18,KRW,,제 20 기 1분기,0,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_ProceedsFromSalesOfOtherFinancialAssets,기타금융자산의 감소,-,제 21 기 1분기,989801606000,,,19,KRW,,제 20 기 1분기,1057939627000,,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CF,현금흐름표,dart_ProceedsFromSalesOfOtherNonCurrentFinancialAssets,기타비유동금융자산의 감소,-,제 21 기 1분기,3053903000,,,20,KRW,,제 20 기 1분기,9500000,,,,352820,하이브,CFS
