rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_amount,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,-,제 2 기 반기,0,,,14,KRW,,,제 1 기 반기,77000000000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,-,제 2 기 반기,360000000,,,15,KRW,,,제 1 기 반기,0,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,-,제 2 기 반기,0,,,16,KRW,,,제 1 기 반기,68000000000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,-표준계정코드 미사용-,유동성사채의 상환,-,제 2 기 반기,0,,,17,KRW,,,제 1 기 반기,130000000000,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,-표준계정코드 미사용-,유동성장기차입금의 상환,-,제 2 기 반기,59299028287,,,18,KRW,,,제 1 기 반기,3445214548,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,-표준계정코드 미사용-,위험회피목적파생상품의 정산,-,제 2 기 반기,5055000000,,,19,KRW,,,제 1 기 반기,0,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,-,제 2 기 반기,-37679761760,,,20,KRW,,,제 1 기 반기,22173181263,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익-공정가치금융자산의 처분,-,제 2 기 반기,413022041,,,21,KRW,,,제 1 기 반기,227616392,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,-,제 2 기 반기,0,,,22,KRW,,,제 1 기 반기,10801541523,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_ProceedsFromSalesOfLongTermLoansAndReceivables,장기대여금의 감소,-,제 2 기 반기,4500000,,,23,KRW,,,제 1 기 반기,3000000,,475150,SK이터닉스,CFS
