rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_amount,thstrm_add_amount,ticker,corp_name,fs_div
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,-,제 2 기 3분기,217924119,,,39,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 증가,-,제 2 기 3분기,3084186158,,,40,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,연결재무제표 [member],제 2 기 3분기,1236746410784,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|자본잉여금 [구성요소],제 2 기 3분기,818362266205,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|자본금 [구성요소],제 2 기 3분기,19830841000,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|이익잉여금 [구성요소],제 2 기 3분기,-657207591,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|기타포괄손익누계액 [구성요소],제 2 기 3분기,178859922,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|기타자본구성요소 [구성요소],제 2 기 3분기,-1180906398,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소],제 2 기 3분기,836533853138,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [구성요소]|비지배지분 [구성요소],제 2 기 3분기,400212557646,,,3,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_ComprehensiveIncome,분기총포괄손익,연결재무제표 [member],제 2 기 3분기,12908306399,,,4,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_ComprehensiveIncome,분기총포괄손익,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|자본잉여금 [구성요소],제 2 기 3분기,0,,,4,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_ComprehensiveIncome,분기총포괄손익,자본 [구성요소]|비지배지분 [구성요소],제 2 기 3분기,9239920376,,,4,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_ComprehensiveIncome,분기총포괄손익,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소],제 2 기 3분기,17292992786,,,4,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_ComprehensiveIncome,분기총포괄손익,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|기타자본구성요소 [구성요소],제 2 기 3분기,0,,,4,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_ComprehensiveIncome,분기총포괄손익,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|기타포괄손익누계액 [구성요소],제 2 기 3분기,-304024672,,,4,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_ComprehensiveIncome,분기총포괄손익,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|이익잉여금 [구성요소],제 2 기 3분기,17597017458,,,4,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_ComprehensiveIncome,분기총포괄손익,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|자본금 [구성요소],제 2 기 3분기,0,,,4,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소],제 2 기 3분기,-103669273,,,5,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|기타자본구성요소 [구성요소],제 2 기 3분기,0,,,5,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|기타포괄손익누계액 [구성요소],제 2 기 3분기,0,,,5,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|이익잉여금 [구성요소],제 2 기 3분기,-103669273,,,5,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,SCE,자본변동표,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,자본 [구성요소]|지배기업의 소유주에게 귀속되는 지분 [구성요소]|자본금 [구성요소],제 2 기 3분기,0,,,5,KRW,,,499790,GS피앤엘,CFS
