rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,dart_CostOfSalesFromSaleOfGoods,제품매출원가,-,제 16 기 1분기,13977526834,,,,,16,KRW,13977526834,제 15 기 1분기,9615210365,9615210365,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_BasicEarningsLossPerShare,기본주당이익,-,제 16 기 1분기,1343,,,,,18,KRW,1343,제 15 기 1분기,298,298,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_DilutedEarningsLossPerShare,희석주당이익,-,제 16 기 1분기,1343,,,,,19,KRW,1343,제 15 기 1분기,298,298,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 16 기 1분기,14209884719,,,,,20,KRW,14209884719,제 15 기 1분기,8760179539,8760179539,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 16 기 1분기,18742383329,,,,,21,KRW,18742383329,제 15 기 1분기,8332982559,8332982559,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 16 기 1분기,213554129970,,,,,22,KRW,213554129970,제 15 기 1분기,133878733665,133878733665,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),-,제 16 기 1분기,-2756321757,,,,,23,KRW,-2756321757,제 15 기 1분기,714080239,714080239,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,분기연결기타포괄손익,-,제 16 기 1분기,9332230922,,,,,24,KRW,9332230922,제 15 기 1분기,-2133447707,-2133447707,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,-,제 16 기 1분기,9242720543,,,,,25,KRW,9242720543,제 15 기 1분기,-2449664415,-2449664415,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환손익,-,제 16 기 1분기,3904277154,,,,,26,KRW,3904277154,제 15 기 1분기,-2180911648,-2180911648,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,-,제 16 기 1분기,5338443389,,,,,27,KRW,5338443389,제 15 기 1분기,-268752767,-268752767,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,-,제 16 기 1분기,89510379,,,,,28,KRW,89510379,제 15 기 1분기,316216708,316216708,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의 재측정요소,-,제 16 기 1분기,89510379,,,,,29,KRW,89510379,제 15 기 1분기,316216708,316216708,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ProfitLoss,분기연결순이익,-,제 16 기 1분기,102734478665,,,,,30,KRW,102734478665,제 15 기 1분기,19622797970,19622797970,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,-,제 16 기 1분기,-2427530392,,,,,31,KRW,-2427530392,제 15 기 1분기,-3681815808,-3681815808,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,-,제 16 기 1분기,105162009057,,,,,32,KRW,105162009057,제 15 기 1분기,23304613778,23304613778,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,-,제 16 기 1분기,99978156908,,,,,33,KRW,99978156908,제 15 기 1분기,20336878209,20336878209,326030,에스케이바이오팜,CFS
