ticker,name,exchange,sector,industry,market_cap,shares_outstanding,listing_date
042110,에스씨디,KOSDAQ,,우량기업부,56738908136,48329564,
042370,비츠로테크,KOSDAQ,,우량기업부,233180222500,26200025,
042420,네오위즈홀딩스,KOSDAQ,,우량기업부,193786335400,8142283,
042500,링네트,KOSDAQ,,우량기업부,98861223640,22291144,
042510,라온시큐어,KOSDAQ,,벤처기업부,91400964440,11105828,
042520,한스바이오메드,KOSDAQ,,벤처기업부,286653476700,14261367,
042600,새로닉스,KOSDAQ,,중견기업부,112060637480,12423574,
042940,상지건설,KOSDAQ,,중견기업부,42542875760,6828712,
043090,더테크놀로지,KOSDAQ,,투자주의환기종목(소속부없음),1113505325,4139425,
043100,알파AI,KOSDAQ,,관리종목(소속부없음),10457241600,20110080,
043150,바텍,KOSDAQ,,우량기업부,265594097280,14854256,
043200,파루,KOSDAQ,,벤처기업부,21403809280,41804315,
043220,티에스넥스젠,KOSDAQ,,관리종목(소속부없음),28191099330,16486023,
043260,성호전자,KOSDAQ,,우량기업부,1363093687000,71741773,
043340,에쎈테크,KOSDAQ,,중견기업부,45505000000,47500000,
043360,디지아이,KOSDAQ,,벤처기업부,21195000000,9000000,
043370,피에이치에이,KOSDAQ,,우량기업부,240450000000,21000000,
043590,웰킵스하이텍,KOSDAQ,,중견기업부,15576501388,13568381,
043610,KT지니뮤직,KOSDAQ,,중견기업부,72469951186,58115438,
043650,국순당,KOSDAQ,,중견기업부,62950521600,17858304,
043710,코스리거글로벌,KOSDAQ,,중견기업부,59555006880,17312502,
043910,자연과환경,KOSDAQ,,벤처기업부,33053607675,11339145,
044180,KD,KOSDAQ,,관리종목(소속부없음),5477148795,26717799,
044340,위닉스,KOSDAQ,,중견기업부,103665865000,17873425,
044480,빌리언스,KOSDAQ,,중견기업부,29161053332,33250916,
044490,태웅,KOSDAQ,,우량기업부,576212572800,20007381,
044780,에이치케이,KOSDAQ,,벤처기업부,24797754580,18505787,
044960,이글벳,KOSDAQ,,중견기업부,38810580810,12641883,
044990,에이치엔에스하이텍,KOSDAQ,,기술성장기업부,92839934000,7685425,
045060,오공,KOSDAQ,,우량기업부,36001694750,16941974,
045100,한양이엔지,KOSDAQ,,우량기업부,525000000000,17500000,
045300,성우테크론,KOSDAQ,,중견기업부,25681974220,10547012,
045340,토탈소프트,KOSDAQ,,벤처기업부,56226322800,8558040,
045390,대아티아이,KOSDAQ,,우량기업부,186049715280,70473377,
045510,정원엔시스,KOSDAQ,,중견기업부,31700316699,31479957,
045520,크린앤사이언스,KOSDAQ,,중견기업부,18460000000,6500000,
045660,에이텍,KOSDAQ,,우량기업부,69549200000,8260000,
045970,코아시아,KOSDAQ,,중견기업부,71444888340,26314876,
046070,코다코,KOSDAQ,,관리종목(소속부없음),159196994920,15486089,
046120,오르비텍,KOSDAQ,,중견기업부,161659692575,33855433,
046210,HLB파나진,KOSDAQ,,벤처기업부,51218955000,45527960,
046310,백금T&A,KOSDAQ,,우량기업부,37598687890,16418641,
046390,삼화네트웍스,KOSDAQ,,중견기업부,35574496380,17269173,
046440,KG파이낸셜,KOSDAQ,,우량기업부,159645368400,38010802,
046940,우원개발,KOSDAQ,,우량기업부,53500076000,18074350,
046970,우리로,KOSDAQ,,벤처기업부,210140870205,43824999,
047080,한빛소프트,KOSDAQ,,중견기업부,25070585620,24822362,
047310,파워로직스,KOSDAQ,,우량기업부,112578071625,36610755,
047560,이스트소프트,KOSDAQ,,중견기업부,100723912740,11753082,
047770,코데즈컴바인,KOSDAQ,,중견기업부,103121090450,37842602,
047820,초록뱀미디어,KOSDAQ,,중견기업부,79353002850,24453930,
047920,HLB제약,KOSDAQ,,기술성장기업부,274858603280,32799356,
048410,현대바이오,KOSDAQ,,중견기업부,657202945320,96505572,
048430,유라테크,KOSDAQ,,우량기업부,65433600000,11520000,
048470,대동스틸,KOSDAQ,,중견기업부,24897000000,9650000,
048530,인트론바이오,KOSDAQ,,기술성장기업부,81554241120,30891758,
048550,SM C&C,KOSDAQ,,중견기업부,163447707800,96714620,
048770,TPC로보틱스,KOSDAQ,,벤처기업부,49605651560,15697991,
048830,엔피케이,KOSDAQ,,중견기업부,19266916767,18723923,
048870,시너지이노베이션,KOSDAQ,,중견기업부,145376488950,88106963,
048910,대원미디어,KOSDAQ,,우량기업부,59058151470,12578946,
049070,인탑스,KOSDAQ,,우량기업부,312827533000,16464607,
049080,기가레인,KOSDAQ,,벤처기업부,93286790660,8488334,
049120,파인디앤씨,KOSDAQ,,벤처기업부,22422517245,10601663,
049180,셀루메드,KOSDAQ,,투자주의환기종목(소속부없음),83975227728,83226192,
049430,코메론,KOSDAQ,,우량기업부,180960000000,9048000,
049470,비트플래닛,KOSDAQ,,중견기업부,35058354611,23544899,
049480,오픈베이스,KOSDAQ,,우량기업부,59733950083,31422383,
049520,유아이엘,KOSDAQ,,우량기업부,117201975000,30842625,
049550,잉크테크,KOSDAQ,,우량기업부,66857404570,19606277,
049630,재영솔루텍,KOSDAQ,,우량기업부,148134981260,23365139,
049720,고려신용정보,KOSDAQ,,우량기업부,131703000000,14300000,
049830,승일,KOSDAQ,,중견기업부,39490801280,6132112,
